sample_idx,dataset_id,source_fsm_id,contract_name,source_contract_name,category,difficulty,partition,result_present,compile_success,abi_checked,abi_success,abi_missing,abi_forbidden_present,test_success,vulnerability_count,critical_count,high_count,medium_count,low_count,max_gas_value,degradation_guard,failure_stage,failure_reason_short,instruction_summary,result_file,compile_command,test_command,execution_summary
0,0,8,MembershipAirdrop,MembershipContract,membership_airdrop,easy,main,True,True,True,True,,,True,2,0,0,0,2,1157673,,,,Write a complete Solidity smart contract named MembershipAirdrop using Solidity 0.8.20.,0.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 2 finding(s) (low=2). Gas analysis: max observed value 1157673.
1,1,5632,SimpleCrowdsale,CrowdsaleContract,crowdsale,easy,diagnostic,True,False,,,,,,,0,0,0,0,,,compile,Error (2333): Identifier already declared.,Write a complete Solidity smart contract named SimpleCrowdsale using Solidity 0.8.20.,1.json,forge build,,Compilation: failed. Error: Compiler run failed: Error (2333): Identifier already declared. --> src/Generated.sol:36:5: | 36 | function tokensPurchased(address _beneficiary) public view returns (uint256) { | ^ (Relevant source part starts here and spans across multiple lines)....
2,2,15,TeamVestingVault,TeamVestingContract,vesting,easy,main,True,True,True,True,,,True,1,0,0,0,1,643440,,,,Write a complete Solidity smart contract named TeamVestingVault using Solidity 0.8.20.,2.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (low=1). Gas analysis: max observed value 643440.
3,3,49,TokenVoting,TokenVotingContract,voting,easy,diagnostic,True,False,,,,,,,0,0,0,0,,,compile,"Error (9582): Member ""candidateCount"" not found or not visible after argument-dependent lookup in contract TokenVoting.",Write a complete Solidity smart contract named TokenVoting using Solidity 0.8.20.,3.json,forge build,,"Compilation: failed. Error: Compiler run failed: Error (9582): Member ""candidateCount"" not found or not visible after argument-dependent lookup in contract TokenVoting. --> test/Generated.t.sol:18:18: | 18 | assertEq(c.candidateCount(), 2); | ^^^^^^^^^^^^^^^^ ABI: not checked...."
4,4,53,PostingBoard,UncensorablePostingContract,posting,easy,diagnostic,True,False,,,,,,,0,0,0,0,,,compile,Error (2333): Identifier already declared.,Write a complete Solidity smart contract named PostingBoard using Solidity 0.8.20.,4.json,forge build,,Compilation: failed. Error: Compiler run failed: Error (2333): Identifier already declared. --> src/Generated.sol:55:5: | 55 | function authorBalances(address author) public view returns (uint256) { | ^ (Relevant source part starts here and spans across multiple lines). Note:...
5,5,2929,CollectibleSale,TokenNFTCollectibles,nft_sale,easy,main,True,True,True,True,,,True,0,0,0,0,0,905116,,,,Write a complete Solidity smart contract named CollectibleSale using Solidity 0.8.20.,5.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: no Slither findings. Gas analysis: max observed value 905116.
6,6,48,FundPoolManager,FundManagementContract,fund_management,easy,diagnostic,True,True,True,True,,,True,4,0,0,0,4,1007319,,,,Write a complete Solidity smart contract named FundPoolManager using Solidity 0.8.20.,6.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 4 finding(s) (low=4). Gas analysis: max observed value 1007319.
7,7,2006,PresaleMint,NFTTokenContract,minting,easy,diagnostic,True,True,True,True,,,True,1,0,0,1,0,660958,,,,Write a complete Solidity smart contract named PresaleMint using Solidity 0.8.20.,7.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (medium=1). Gas analysis: max observed value 660958.
8,8,4381,GrandGooseMansion,GrandGooseMansion,nft_minting,easy,main,True,False,,,,,,,0,0,0,0,,,compile,Error (6160): Wrong argument count for function call: 0 arguments given but expected 1.,Write a complete Solidity smart contract named GrandGooseMansion using Solidity 0.8.20.,8.json,forge build,,Compilation: failed. Error: Compiler run failed: Error (6160): Wrong argument count for function call: 0 arguments given but expected 1. --> test/Generated.t.sol:12:13: | 12 | c = new GrandGooseMansion(); | ^^^^^^^^^^^^^^^^^^^^^^^ ABI: not checked. Tests: skipped (no Solidity...
9,9,3088,ClosedPresaleMint,NFTMintingContract,minting,easy,main,True,False,,,,,,,0,0,0,0,,,compile,"Error (6275): Source ""lib/openzeppelin-contracts/contracts/security/ReentrancyGuard.sol"" not found: File not found. Searched the following locations: ""/tmp/indict_solidity_9_4hy...",Write a complete Solidity smart contract named ClosedPresaleMint using Solidity 0.8.20.,9.json,forge build,,"Compilation: failed. Error: Compiler run failed: Error (6275): Source ""lib/openzeppelin-contracts/contracts/security/ReentrancyGuard.sol"" not found: File not found. Searched the following locations: ""/tmp/indict_solidity_9_4hykad"". ParserError: Source ""lib/openzeppelin-contrac..."
